INDEP	SHIFT	DEP	STOR
16N	16N	16N	1S
10.32	0.00	7140	 
10.33	0.00	7180	 
10.34	0.00	7230	 
10.35	0.00	7270	 
10.36	0.00	7310	 
10.37	0.00	7350	 
10.38	0.00	7400	 
10.39	0.00	7440	 
10.40	0.00	7490	 
10.41	0.00	7530	 
10.42	0.00	7570	 
10.43	0.00	7620	 
10.44	0.00	7660	 
10.45	0.00	7710	 
10.46	0.00	7750	 
10.47	0.00	7800	 
10.48	0.00	7840	 
10.49	0.00	7890	 
10.50	0.00	7930	 
10.51	0.00	7980	 
10.52	0.00	8030	 
10.53	0.00	8070	 
10.54	0.00	8120	 
10.55	0.00	8170	 
10.56	0.00	8210	 
10.57	0.00	8260	 
10.58	0.00	8310	 
10.59	0.00	8350	 
10.60	0.00	8400	 
10.61	0.00	8450	 
10.62	0.00	8500	 
10.63	0.00	8550	 
10.64	0.00	8600	 
10.65	0.00	8640	 
10.66	0.00	8690	 
10.67	0.00	8740	 
10.68	0.00	8790	 
10.69	0.00	8840	 
10.70	0.00	8890	 
10.71	0.00	8940	 
10.72	0.00	8990	 
10.73	0.00	9040	 
10.74	0.00	9090	*
